name	event_type	organizer_name	venue_name	venue_address	city	country	start_date	end_date	start_time	end_time	ticket_url	official_website	source_provider	source_event_url	status	reference_article_count	notes
合肥千人电子音乐仓库派对	club_show	Asylum Events			合肥	中国	2024-05-03	2024-05-04					WeChat		past	2	由2024-04-12/04-25两篇合并
ANYMA 相关活动（待确认）	festival	Asylum Events				中国							WeChat		unknown	1	推文为“什么样的派对才能吸引Anyma空降！”
LIGHTHOUSE 7.27 上海外滩露台派对	special_event	Asylum Events		外滩	上海	中国	2024-07-27	2024-07-27					WeChat		past	1	
MASSANE 双城巡演	club_show	Asylum Events				中国							WeChat		past	2	含8/4与8/21预热
DIMENSION 国内独家专场	club_show	Asylum Events				中国							WeChat		past	2	含8/13与8/27预热
EDC China Official After Party（2024）	after_party	Asylum Events				中国							WeChat		past	1	2024年账号未展示具体城市
Ocula 双城巡演（2024秋季）	club_show	Asylum Events			上海/广州/武汉	中国	2024-12-07	2024-12-08					WeChat		past	5	含通知/须知/调整
SOOS 上海	club_show	Asylum Events			上海	中国	2024-10-02	2024-10-03					WeChat		partially_canceled	4	含9/19官宣+9/23取消通知+9/30加场文案
SOOS 珠海	club_show	Asylum Events			珠海	中国	2024-11-02	2024-11-03					WeChat		past	4	含Vril子活动
Savage & SHē（Dance In My Asylum）	club_show	Asylum Events				中国	2024-11-02	2024-11-02					WeChat		past	2	
SONA 中国首次巡演	club_show	Asylum Events				中国							WeChat		past	1	Black Coffee之子
LIGHTHOUSE IV（11.09）	special_event	Asylum Events				中国	2024-11-09	2024-11-09					WeChat		past	2	含阵容调整与回顾
Hard Techno 活动（待确认）	club_show	Asylum Events				中国							WeChat		unknown	1	仅有风格文案
SAN HOLO 中国巡演	club_show	Asylum Events			成都/深圳/上海	中国	2024-11-30	2024-11-30					WeChat		past	4	含见面会与站点更新
Charlie Sparks 上海首演	club_show	Asylum Events	SYSTEM		上海	中国							WeChat		past	1	回顾向
JERRO 深圳演出	club_show	Asylum Events			深圳	中国							WeChat		past	2	含预告与回顾
EDC China 2025 Official After Party	after_party	Asylum Events			苏州	中国	2025-03-22	2025-03-23					WeChat		past	3	开售/加码/回顾
Robby East 中国巡演	club_show	Asylum Events				中国							WeChat		past	2	预告+回顾
Teletech Eczodia（05.31）	club_show	Asylum Events				中国	2025-05-31	2025-05-31					WeChat		past	1	Asylum x NEO牛
SOOS 一周年 南京站	club_show	Asylum Events			南京	中国							WeChat		past	1	
EMBRZ 中国巡演	club_show	Asylum Events				中国							WeChat		canceled	1	公告为取消并延期
CAMP BESTIVAL 2025 广州	festival	Asylum Events			广州	中国							WeChat		past	1	
Le Youth 中国双城巡演	club_show	Asylum Events				中国							WeChat		past	1	回顾向
ESTIVA 深沪巡演	club_show	Asylum Events			深圳/上海	中国							WeChat		past	2	官宣+倒计时
HÖR 深圳站	live_recording	Asylum Events	BO LIVE（前海店）		深圳	中国	2025-09-13	2025-09-13					WeChat		past	1	全程录制活动
ASYLUM x CLSTR56 豫园活动	special_event	Asylum Events		豫园	上海	中国							WeChat		past	1	
mölly 2025 中国巡演	club_show	Asylum Events				中国							WeChat		past	1	
Romain Garcia 广州演出	club_show	Asylum Events			广州	中国	2025-12-12	2025-12-12					WeChat		past	2	预告+回顾
ANII 上海演出	club_show	Asylum Events			上海	中国	2025-12-13	2025-12-13					WeChat		past	1	
Nils Hoffmann 2026 中国巡演	club_show	Asylum Events				中国							WeChat		upcoming	1	标题截断
Eric Luttrell 深沪巡演	club_show	Asylum Events			深圳/上海	中国							WeChat		upcoming	1	
SULTAN+SHEPARD 上海巡演	club_show	Asylum Events			上海	中国	2026-04-17	2026-04-17					WeChat		upcoming	2	含时间表释出
SHENWAVE 申浪音乐节 / ANYMA EDEN	festival	Asylum Events				中国							WeChat		upcoming	1	
Enamour 申浪预热派对	club_show	Asylum Events	BOLIVE	No.25 Tairan 8th Road, Futian, Shenzhen	深圳	中国	2026-04-30	2026-05-01	21:00	02:00			WeChat		upcoming	1	海报可读到时间地点
asylum air 日咖夜酒（03.28）	special_event	Asylum Events				中国	2026-03-28	2026-03-28					WeChat		past	1	
